Indicator,Risk_Block,Observed_Change,Historical_Percentile,Empirical_Confidence,Current_Risk,Historical_Risk,Blended_Risk,Adjusted_Risk,Raw_Weight,Normalized_Weight,Weighted_Contribution,Signal_Status,Korean_Comment
VIX,RISK,1.18504159,37.63,0.3709,55.93,37.63,48.61,49.48,0.22,0.2683,13.276,OK,"VIX가 상승했고, 현재 조정 위험점수 49.48점 기준으로 시장 변동성 위험에 중립적으로 작용했습니다."
US_HY_SPREAD,RISK,-6.35714286,75.81,0.3861,18.21,75.81,41.25,46.62,0.18,0.2195,10.2343,OK,미국 하이일드 스프레드가 하락해 기업 신용위험과 자금조달 부담 변화를 반영하며 위험을 낮췄습니다.
FCI_TIGHTENING,RISK,-0.011,27.96,0.3891,47.8,27.96,39.86,46.06,0.14,0.1707,7.8631,OK,금융여건지수가 하락해 금융시장 유동성과 자금조달 환경 변화를 반영하며 위험을 낮췄습니다.
US10Y,RATE,8.0,75.81,0.3715,90.0,75.81,84.32,62.75,0.08,0.0976,6.1219,OK,미국 10년물 금리가 상승해 할인율과 채권가격 부담 변화를 통해 포트폴리오 위험에 영향을 줬습니다.
US_REAL10Y,RATE,5.0,86.02,0.4005,75.0,86.02,79.41,61.78,0.1,0.122,7.5341,OK,미국 실질금리가 상승해 주식의 할인율과 금의 기회비용 변화가 위험점수에 반영됐습니다.
USDKRW,FX,-5.5715925,6.45,0.3266,0.0,6.45,2.58,34.51,0.1,0.122,4.2091,OK,원·달러 환율이 하락해 원화 약세·강세에 따른 해외자산 환산효과와 국내시장 부담이 반영됐습니다.
