Account,Invested_Amount_KRW,Evaluation_Amount_KRW,Return_Pct,Snapshot_Date,Update_Mode
ISA,19500104,21037260,7.88,2026-08-30,MANUAL_SNAPSHOT
GOLD,1451631,1421070,-1.75,2026-08-30,MANUAL_SNAPSHOT
