Asset,Asset_KR,Account,Invested_Amount_KRW,Source
Bond,채권형,ISA,10191685,USER_INITIALIZED_FROM_ISA_WEIGHT_NORMALIZED
Domestic_Equity,국내주식,ISA,5268401,USER_INITIALIZED_FROM_ISA_WEIGHT_NORMALIZED
Foreign_Equity,해외주식,ISA,3642255,USER_INITIALIZED_FROM_ISA_WEIGHT_NORMALIZED
Cash,유동성,ISA,370465,USER_INITIALIZED_FROM_ISA_WEIGHT_NORMALIZED
Other,기타,ISA,27298,USER_INITIALIZED_FROM_ISA_WEIGHT_NORMALIZED
Gold,금,GOLD,1451631,USER_REPORTED_INVESTED_PRINCIPAL
