Indicator,Risk_Block,Base_Weight,Enabled
VIX,RISK,0.22,1
MOVE,RISK,0.1,0
US_HY_SPREAD,RISK,0.18,1
FCI_TIGHTENING,RISK,0.14,1
US10Y,RATE,0.08,1
US_REAL10Y,RATE,0.1,1
USDKRW,FX,0.1,1
GEOPOLITICAL_RISK,RISK,0.08,0
