Indicator,Reason
KR3Y,한국 전용 실제데이터 수집기 추가 예정
KR10Y,한국 전용 실제데이터 수집기 추가 예정
FED_HIKE_EXPECTATION,선물/시장기대 전용 소스 필요
BOK_HIKE_EXPECTATION,시장기대 전용 소스 필요
KR_CPI,한국 전용 실제데이터 수집기 추가 예정
MOVE,안정적인 자동수집 소스 추가 필요
GEOPOLITICAL_RISK,GPR 전용 수집기 추가 예정
US_ISM_MFG,ISM 전용 수집기 추가 예정
US_NFP_SURPRISE,실제치-컨센서스 데이터 필요
KR_EXPORT_GROWTH,한국 수출 전용 수집기 추가 예정
KR_SEMI_EXPORT_GROWTH,한국 반도체 수출 전용 수집기 추가 예정
CB_GOLD_NET_BUYING,중앙은행 금매입 전용 소스 필요
