Asset,Asset_KR,Account,Invested_Amount_KRW,Portfolio_Weight_Pct,Total_Invested_Amount_KRW,Basis
Bond,채권형,ISA,10191685,48.6436,20951735,INVESTED_PRINCIPAL
Domestic_Equity,국내주식,ISA,5268401,25.1454,20951735,INVESTED_PRINCIPAL
Foreign_Equity,해외주식,ISA,3642255,17.384,20951735,INVESTED_PRINCIPAL
Cash,유동성,ISA,370465,1.7682,20951735,INVESTED_PRINCIPAL
Other,기타,ISA,27298,0.1303,20951735,INVESTED_PRINCIPAL
Gold,금,GOLD,1451631,6.9285,20951735,INVESTED_PRINCIPAL
