Asset,Current_Weight,Annualized_Volatility_Pct,Max_Drawdown_Pct
Domestic_Equity,25.1454,16.28,-31.67
Foreign_Equity,17.384,11.26,-23.26
Bond,48.6436,3.37,-11.73
Gold,6.9285,14.35,-39.64
