Asset,Asset_KR,Account,Weight_In_Account,Target_Weight,Asset_Current_Value,Portfolio_Weight,Target_Gap_pp,Target_Status
Domestic_Equity,국내주식,ISA,26.77,,5615082.9914,25.050747609440034,,TARGET_NOT_SET
Foreign_Equity,해외주식,ISA,16.86,,3536432.5451999996,15.7771985317579,,TARGET_NOT_SET
Bond,채권형,ISA,52.42,,10995242.8244,49.05342509102901,,TARGET_NOT_SET
Cash,유동성,ISA,1.91,,400627.88619999995,1.7873338787460016,,TARGET_NOT_SET
Other,기타,ISA,2.04,,427895.7528,1.9089848757287138,,TARGET_NOT_SET
Gold,금,GOLD,100.0,10.0,1439550.0,6.422310013298338,-3.577689986701662,UNDERWEIGHT
