Asset,Raw_STEP3_Macro,Normalized_Macro_0_100,Source,Scale_Detection,Status
Domestic_Equity,-2.01,29.9,LONG:Score,STEP3_-5_TO_5,ACTUAL
Foreign_Equity,-1.07,39.3,LONG:Score,STEP3_-5_TO_5,ACTUAL
Bond,-0.81,41.9,LONG:Score,STEP3_-5_TO_5,ACTUAL
Gold,0.89,58.9,LONG:Score,STEP3_-5_TO_5,ACTUAL
